"ID","STATE_NAME","White alone","Black or African American alone","American Indian and Alaska Native alone","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some other race alone"
"0400000US01","Alabama","8.7","11.0","13.9","8.5","27.0","32.6"
"0400000US02","Alaska","9.2","6.1","21.5","12.2","14.3","15.1"
"0400000US04","Arizona","10.2","11.0","23.8","8.0","13.9","20.2"
"0400000US05","Arkansas","8.4","8.7","22.3","6.7","42.3","27.6"
"0400000US06","California","7.2","5.7","11.7","4.8","8.6","14.7"
"0400000US08","Colorado","7.4","9.2","13.0","7.8","12.0","20.5"
"0400000US09","Connecticut","4.7","6.6","9.5","6.1","N","18.3"
"0400000US10","Delaware","5.7","7.6","N","4.2","N","23.9"
"0400000US11","District of Columbia","2.4","4.5","N","2.8","N","6.5"
"0400000US12","Florida","12.2","15.7","23.0","11.7","23.5","23.4"
"0400000US13","Georgia","12.3","13.3","31.3","9.8","17.6","40.0"
"0400000US15","Hawaii","4.7","1.7","17.5","3.4","7.7","8.0"
"0400000US16","Idaho","10.2","10.0","27.0","12.4","N","20.1"
"0400000US17","Illinois","6.2","8.9","8.4","6.7","N","19.1"
"0400000US18","Indiana","8.1","10.3","14.7","8.3","12.6","23.6"
"0400000US19","Iowa","4.4","11.3","18.1","6.7","15.2","18.1"
"0400000US20","Kansas","8.0","13.2","19.8","8.0","N","30.6"
"0400000US21","Kentucky","6.0","7.4","11.3","8.2","N","35.6"
"0400000US22","Louisiana","7.9","8.9","7.4","18.4","N","40.4"
"0400000US23","Maine","7.8","8.4","18.2","9.7","N","8.2"
"0400000US24","Maryland","4.0","5.8","4.4","5.4","N","29.9"
"0400000US25","Massachusetts","2.5","4.9","7.1","2.5","16.2","8.4"
"0400000US26","Michigan","5.4","6.4","13.4","5.1","N","17.8"
"0400000US27","Minnesota","3.9","9.4","14.1","5.2","N","22.9"
"0400000US28","Mississippi","11.5","13.9","33.3","17.8","N","43.6"
"0400000US29","Missouri","9.5","12.0","17.8","8.5","11.5","27.6"
"0400000US30","Montana","6.9","8.4","27.8","9.8","N","17.4"
"0400000US31","Nebraska","7.1","16.9","21.3","9.1","N","20.6"
"0400000US32","Nevada","10.2","7.9","15.3","8.7","10.0","24.5"
"0400000US33","New Hampshire","6.0","11.6","N","8.6","N","18.6"
"0400000US34","New Jersey","6.5","9.4","18.5","5.3","N","23.6"
"0400000US35","New Mexico","8.1","8.8","21.0","7.1","N","16.6"
"0400000US36","New York","3.8","5.6","13.9","6.7","7.7","13.1"
"0400000US37","North Carolina","9.9","11.5","15.5","9.0","23.5","37.9"
"0400000US38","North Dakota","5.0","24.7","20.9","9.8","N","24.8"
"0400000US39","Ohio","6.1","8.1","7.2","6.8","13.5","22.9"
"0400000US40","Oklahoma","12.4","13.4","25.3","11.1","22.7","30.6"
"0400000US41","Oregon","6.7","7.8","15.0","4.8","8.9","18.0"
"0400000US42","Pennsylvania","5.2","6.9","9.1","6.4","11.2","16.6"
"0400000US44","Rhode Island","3.1","9.2","N","5.5","N","9.0"
"0400000US45","South Carolina","9.4","11.9","10.8","9.1","48.2","42.5"
"0400000US46","South Dakota","7.1","19.1","36.5","4.8","N","36.8"
"0400000US47","Tennessee","9.4","10.8","15.8","9.4","11.1","38.7"
"0400000US48","Texas","18.1","15.0","20.6","11.3","24.8","35.9"
"0400000US49","Utah","8.2","18.7","28.8","9.3","16.1","33.1"
"0400000US50","Vermont","4.2","17.1","28.2","3.9","N","N"
"0400000US51","Virginia","6.8","8.4","9.2","7.1","12.3","32.6"
"0400000US53","Washington","5.5","8.3","13.1","5.4","12.0","25.0"
"0400000US54","West Virginia","6.7","7.4","5.5","12.0","N","6.5"
"0400000US55","Wisconsin","4.9","8.4","16.2","7.5","5.8","26.5"
"0400000US56","Wyoming","11.1","15.3","35.7","N","N","31.8"
"0400000US72","Puerto Rico","7.2","8.8","N","33.6","N","9.4"
